City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,Port Blair,11.6667,92.75,79.18,75,0,8.16,IN,1/30/2021
285,Makkah al Mukarramah,21.4267,39.8261,62.38,64,0,4.76,SA,1/30/2021
286,Ilebo,-4.3167,20.5833,71.1,96,100,1.1,CD,1/30/2021
287,Kidal,18.4411,1.4078,70.32,20,100,11.34,ML,1/30/2021
288,Bani Walid,31.7566,13.9942,60.37,32,0,9.69,LY,1/30/2021
289,Quibor,9.9287,-69.6201,72.43,73,100,7.14,VE,1/30/2021
290,Camocim,-2.9022,-40.8411,77.97,84,2,13.82,BR,1/30/2021
291,Half Moon Bay,37.4636,-122.4286,60.01,82,1,8.05,US,1/30/2021
292,Murray Bridge,-35.1167,139.2667,66.99,82,0,8.01,AU,1/30/2021
293,Port Lincoln,-34.7333,135.8667,65.64,73,100,15.82,AU,1/30/2021
294,Santa Gertrudis,19.7333,-99.3667,77,31,1,12.66,MX,1/30/2021
295,Umeå,63.8284,20.2597,12.2,92,0,9.22,SE,1/30/2021
296,Sai Buri,6.7013,101.6168,75.2,88,20,4.61,TH,1/30/2021
297,Bredasdorp,-34.5322,20.0403,60.8,94,0,1.14,ZA,1/30/2021
298,Inongo,-1.95,18.2667,74.84,82,91,4.9,CD,1/30/2021
299,Bulgan,48.8125,103.5347,-1.73,89,26,1.72,MN,1/30/2021
300,Boyolangu,-8.1181,111.8935,79.63,81,40,6.89,ID,1/30/2021
301,Khovu-Aksy,51.1333,93.6,9.61,90,100,3.09,RU,1/30/2021
302,Pelym,61.0108,61.9978,2.05,93,100,8.9,RU,1/30/2021
303,Olds,51.7834,-114.102,-2.2,100,88,6.91,CA,1/30/2021
304,Pacific Grove,36.6177,-121.9166,57.99,76,1,8.1,US,1/30/2021
305,Kaihua,23.3687,104.28,56.26,83,74,6.64,CN,1/30/2021
306,Vila Franca do Campo,37.7167,-25.4333,57.99,94,75,9.22,PT,1/30/2021
307,Chapais,49.7834,-74.8492,23,86,90,16.11,CA,1/30/2021
308,Shibata,37.95,139.3333,41,75,40,11.5,JP,1/30/2021
309,Meulaboh,4.1363,96.1285,77.2,86,34,3.8,ID,1/30/2021
310,Tabou,4.423,-7.3528,78.62,91,69,6.55,CI,1/30/2021
311,Hauterive,46.0901,3.4459,39.2,100,90,3.44,FR,1/30/2021
312,Comodoro Rivadavia,-45.8667,-67.5,59,67,0,12.66,AR,1/30/2021
